date,discharge_m3_per_s
2007-07-03T00:00:00,168.556
2007-07-04T00:00:00,176.789
2007-07-05T00:00:00,168.562
2007-07-06T00:00:00,158.2
2007-07-07T00:00:00,186.922
2007-07-08T00:00:00,179.928
2007-07-09T00:00:00,192.361
2007-07-10T00:00:00,189.896
2007-07-11T00:00:00,205.787
2007-07-12T00:00:00,214.962
2007-07-13T00:00:00,217.479
2007-07-14T00:00:00,216.779
2007-07-15T00:00:00,181.138
2007-07-16T00:00:00,171.715
2007-07-17T00:00:00,186.558
2007-07-18T00:00:00,170.562
2007-07-19T00:00:00,165.117
2007-07-20T00:00:00,157.817
2007-07-21T00:00:00,163.485
2007-07-22T00:00:00,169.75
2007-07-23T00:00:00,227.384
2007-07-24T00:00:00,214.53
2007-07-25T00:00:00,194.704
2007-07-26T00:00:00,191.411
2007-07-27T00:00:00,184.537
2007-07-28T00:00:00,183.794
2007-07-29T00:00:00,183.661
2007-07-30T00:00:00,185.832
2007-07-31T00:00:00,195.699
2007-08-01T00:00:00,261.622
2007-08-02T00:00:00,210.547
2007-08-03T00:00:00,203.052
2007-08-04T00:00:00,199.131
2007-08-05T00:00:00,183.923
2007-08-06T00:00:00,196.915
2007-08-07T00:00:00,187.914
2007-08-08T00:00:00,255.982
2007-08-09T00:00:00,209.843
2007-08-10T00:00:00,183.082
2007-08-11T00:00:00,204.42
2007-08-12T00:00:00,276.951
2007-08-13T00:00:00,258.782
2007-08-14T00:00:00,276.032
2007-08-15T00:00:00,262.675
2007-08-16T00:00:00,278.941
2007-08-17T00:00:00,273.083
2007-08-18T00:00:00,252.996
2007-08-19T00:00:00,261.302
2007-08-20T00:00:00,270.757
2007-08-21T00:00:00,261.822
2007-08-22T00:00:00,282.563
2007-08-23T00:00:00,390.656
2007-08-24T00:00:00,386.299
2007-08-25T00:00:00,353.517
2007-08-26T00:00:00,362.81
2007-08-27T00:00:00,318.737
2007-08-28T00:00:00,302.308
2007-08-29T00:00:00,295.027
2007-08-30T00:00:00,281.896
2007-08-31T00:00:00,246.93
2007-09-01T00:00:00,268.126
2007-09-02T00:00:00,265.938
2007-09-03T00:00:00,265.25
2007-09-04T00:00:00,250.491
2007-09-05T00:00:00,238.709
2007-09-06T00:00:00,248.753
2007-09-07T00:00:00,236.047
2007-09-08T00:00:00,229.009
2007-09-09T00:00:00,228.026
2007-09-10T00:00:00,222.961
2007-09-11T00:00:00,225.421
2007-09-12T00:00:00,212.757
2007-09-13T00:00:00,206.097
2007-09-14T00:00:00,206.251
2007-09-15T00:00:00,199.52
2007-09-16T00:00:00,198.778
2007-09-17T00:00:00,200.638
2007-09-18T00:00:00,200.793
2007-09-19T00:00:00,197.321
2007-09-20T00:00:00,180.035
2007-09-21T00:00:00,161.042
2007-09-22T00:00:00,173.279
2007-09-23T00:00:00,175.635
2007-09-24T00:00:00,177.362
2007-09-25T00:00:00,169.344
2007-09-26T00:00:00,171.498
2007-09-27T00:00:00,173.903
2007-09-28T00:00:00,188.899
2007-09-29T00:00:00,232.407
2007-09-30T00:00:00,242.223
2007-10-01T00:00:00,257.378
2007-10-02T00:00:00,229.237
2007-10-03T00:00:00,239.37
2007-10-04T00:00:00,249.313
2007-10-05T00:00:00,274.884
2007-10-06T00:00:00,249.115
2007-10-07T00:00:00,233.584
2007-10-08T00:00:00,238.04
2007-10-09T00:00:00,237.038
2007-10-10T00:00:00,253.175
2007-10-11T00:00:00,241.441
2007-10-12T00:00:00,228.925
2007-10-13T00:00:00,222.451
2007-10-14T00:00:00,220.542
2007-10-15T00:00:00,206.869
2007-10-16T00:00:00,204.102
2007-10-17T00:00:00,202.214
2007-10-18T00:00:00,203.072
2007-10-19T00:00:00,189.624
2007-10-20T00:00:00,195.355
2007-10-21T00:00:00,192.188
2007-10-22T00:00:00,189.258
2007-10-23T00:00:00,183.287
2007-10-24T00:00:00,178.515
2007-10-25T00:00:00,158.279
2007-10-26T00:00:00,155.939
2007-10-27T00:00:00,155.476
2007-10-28T00:00:00,155.969
2007-10-29T00:00:00,198.541
2007-10-30T00:00:00,188.102
2007-10-31T00:00:00,183.021
2007-11-01T00:00:00,171.638
2007-11-02T00:00:00,169.313
2007-11-03T00:00:00,176.923
2007-11-04T00:00:00,168.591
2007-11-05T00:00:00,150.161
2007-11-06T00:00:00,133.323
2007-11-07T00:00:00,115.618
2007-11-08T00:00:00,117.693
2007-11-09T00:00:00,128.067
2007-11-10T00:00:00,142.044
2007-11-11T00:00:00,152.913
2007-11-12T00:00:00,180.866
2007-11-13T00:00:00,164.428
2007-11-14T00:00:00,183.808
2007-11-15T00:00:00,158.128
2007-11-16T00:00:00,150.317
2007-11-17T00:00:00,140.258
2007-11-18T00:00:00,145.318
2007-11-19T00:00:00,144.771
2007-11-20T00:00:00,166.474
2007-11-21T00:00:00,161.075
2007-11-22T00:00:00,164.242
2007-11-23T00:00:00,150.643
2007-11-24T00:00:00,136.169
2007-11-25T00:00:00,133.33
2007-11-26T00:00:00,144.631
2007-11-27T00:00:00,144.387
2007-11-28T00:00:00,165.322
2007-11-29T00:00:00,154.882
2007-11-30T00:00:00,157.801
2007-12-01T00:00:00,161.001
2007-12-02T00:00:00,179.071
2007-12-03T00:00:00,233.48
2007-12-04T00:00:00,335.296
2007-12-05T00:00:00,367.362
2007-12-06T00:00:00,433.587
2007-12-07T00:00:00,461.802
2007-12-08T00:00:00,534.903
2007-12-09T00:00:00,609.985
2007-12-10T00:00:00,690.956
2007-12-11T00:00:00,692.139
2007-12-12T00:00:00,705.646
2007-12-13T00:00:00,703.184
2007-12-14T00:00:00,676.966
2007-12-15T00:00:00,657.331
2007-12-16T00:00:00,655.669
2007-12-17T00:00:00,636.202
2007-12-18T00:00:00,611.246
2007-12-19T00:00:00,581.66
2007-12-20T00:00:00,546.069
2007-12-21T00:00:00,488.536
2007-12-22T00:00:00,434.085
2007-12-23T00:00:00,389.258
2007-12-24T00:00:00,385.844
2007-12-25T00:00:00,326.007
2007-12-26T00:00:00,310.871
2007-12-27T00:00:00,302.169
2007-12-28T00:00:00,281.615
2007-12-29T00:00:00,278.605
2007-12-30T00:00:00,262.293
2007-12-31T00:00:00,257.584
2008-01-01T00:00:00,223.091
2008-01-02T00:00:00,222.491
2008-01-03T00:00:00,213.506
2008-01-04T00:00:00,202.562
2008-01-05T00:00:00,249.245
2008-01-06T00:00:00,264.083
2008-01-07T00:00:00,341.058
2008-01-08T00:00:00,431.018
2008-01-09T00:00:00,462.598
2008-01-10T00:00:00,426.563
2008-01-11T00:00:00,405.008
2008-01-12T00:00:00,408.478
2008-01-13T00:00:00,398.064
2008-01-14T00:00:00,412.394
2008-01-15T00:00:00,410.565
2008-01-16T00:00:00,414.742
2008-01-17T00:00:00,430.175
2008-01-18T00:00:00,456.581
2008-01-19T00:00:00,459.038
2008-01-20T00:00:00,439.209
2008-01-21T00:00:00,413.018
2008-01-22T00:00:00,407.623
2008-01-23T00:00:00,410.37
2008-01-24T00:00:00,403.187
2008-01-25T00:00:00,385.351
2008-01-26T00:00:00,379.421
2008-01-27T00:00:00,356.26
2008-01-28T00:00:00,345.484
2008-01-29T00:00:00,319.701
2008-01-30T00:00:00,320.966
2008-01-31T00:00:00,304.893
2008-02-01T00:00:00,386.27
2008-02-02T00:00:00,565.139
2008-02-03T00:00:00,672.051
2008-02-04T00:00:00,635.931
2008-02-05T00:00:00,654.304
2008-02-06T00:00:00,694.786
2008-02-07T00:00:00,749.505
2008-02-08T00:00:00,678.433
2008-02-09T00:00:00,623.181
2008-02-10T00:00:00,590.621
2008-02-11T00:00:00,567.091
2008-02-12T00:00:00,528.389
2008-02-13T00:00:00,502.197
2008-02-14T00:00:00,462.473
2008-02-15T00:00:00,424.161
2008-02-16T00:00:00,385.075
2008-02-17T00:00:00,366.897
2008-02-18T00:00:00,343.599
2008-02-19T00:00:00,301.807
2008-02-20T00:00:00,302.415
2008-02-21T00:00:00,315.742
2008-02-22T00:00:00,301.469
2008-02-23T00:00:00,285.076
2008-02-24T00:00:00,281.879
2008-02-25T00:00:00,287.467
2008-02-26T00:00:00,277.888
2008-02-27T00:00:00,262.302
2008-02-28T00:00:00,261.664
2008-02-29T00:00:00,271.192
2008-03-01T00:00:00,266.35
2008-03-02T00:00:00,265.708
2008-03-03T00:00:00,259.146
2008-03-04T00:00:00,263.955
2008-03-05T00:00:00,292.042
2008-03-06T00:00:00,288.671
2008-03-07T00:00:00,311.844
2008-03-08T00:00:00,319.042
2008-03-09T00:00:00,301.619
2008-03-10T00:00:00,294.234
2008-03-11T00:00:00,289.108
2008-03-12T00:00:00,323.932
2008-03-13T00:00:00,408.205
2008-03-14T00:00:00,427.529
2008-03-15T00:00:00,437.437
2008-03-16T00:00:00,460.653
2008-03-17T00:00:00,479.391
2008-03-18T00:00:00,592.593
2008-03-19T00:00:00,600.729
2008-03-20T00:00:00,579.234
2008-03-21T00:00:00,555.045
2008-03-22T00:00:00,642.938
2008-03-23T00:00:00,796.179
2008-03-24T00:00:00,829.957
2008-03-25T00:00:00,807.042
2008-03-26T00:00:00,781.288
2008-03-27T00:00:00,822.604
2008-03-28T00:00:00,869.223
2008-03-29T00:00:00,933.518
2008-03-30T00:00:00,913.654
2008-03-31T00:00:00,882.204
2008-04-01T00:00:00,880.931
2008-04-02T00:00:00,880.462
2008-04-03T00:00:00,825.709
2008-04-04T00:00:00,788.154
2008-04-05T00:00:00,778.977
2008-04-06T00:00:00,731.069
2008-04-07T00:00:00,678.791
2008-04-08T00:00:00,647.387
2008-04-09T00:00:00,633.914
2008-04-10T00:00:00,608.43
2008-04-11T00:00:00,694.104
2008-04-12T00:00:00,672.603
2008-04-13T00:00:00,671.433
2008-04-14T00:00:00,716.929
2008-04-15T00:00:00,846.117
2008-04-16T00:00:00,862.601
2008-04-17T00:00:00,812.681
2008-04-18T00:00:00,749.755
2008-04-19T00:00:00,740.332
2008-04-20T00:00:00,723.794
2008-04-21T00:00:00,743.233
2008-04-22T00:00:00,727.762
2008-04-23T00:00:00,686.678
2008-04-24T00:00:00,637.569
2008-04-25T00:00:00,612.101
